?R?Start
  output_wert -->  0 = 0.22660    -  1 = 0.17971    -  2 = 0.04924    -  3 = 0.21786    -  4 = 0.19993    -   out -> 0
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  4

  output_wert -->  0 = 0.35255    -  1 = 0.08814    -  2 = 0.00196    -  3 = 0.28030    -  4 = 0.89428    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  5

  output_wert -->  0 = 0.25232    -  1 = 0.15481    -  2 = 0.02454    -  3 = 0.23189    -  4 = 0.35538    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  6

  output_wert -->  0 = 0.17231    -  1 = 0.24441    -  2 = 0.20918    -  3 = 0.18618    -  4 = 0.03849    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  7

  output_wert -->  0 = 0.09912    -  1 = 0.36311    -  2 = 0.79358    -  3 = 0.13290    -  4 = 0.00167    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  8

  output_wert -->  0 = 0.22646    -  1 = 0.17978    -  2 = 0.04935    -  3 = 0.21777    -  4 = 0.19923    -   out -> 0
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  9

  output_wert -->  0 = 0.30050    -  1 = 0.11790    -  2 = 0.00709    -  3 = 0.25591    -  4 = 0.68175    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  10

  output_wert -->  0 = 0.21398    -  1 = 0.19267    -  2 = 0.06865    -  3 = 0.21121    -  4 = 0.14446    -   out -> 0
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  11

  output_wert -->  0 = 0.13140    -  1 = 0.30645    -  2 = 0.51717    -  3 = 0.15843    -  4 = 0.00780    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  12

  output_wert -->  0 = 0.13141    -  1 = 0.30695    -  2 = 0.51632    -  3 = 0.15840    -  4 = 0.00781    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  13

  output_wert -->  0 = 0.21423    -  1 = 0.19279    -  2 = 0.06863    -  3 = 0.21102    -  4 = 0.14444    -   out -> 0
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  14

  output_wert -->  0 = 0.27295    -  1 = 0.13783    -  2 = 0.01436    -  3 = 0.24242    -  4 = 0.49893    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  15

  output_wert -->  0 = 0.22636    -  1 = 0.17959    -  2 = 0.04918    -  3 = 0.21808    -  4 = 0.20016    -   out -> 0
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  16

  output_wert -->  0 = 0.16804    -  1 = 0.25040    -  2 = 0.23303    -  3 = 0.18347    -  4 = 0.03307    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  17

  output_wert -->  0 = 0.09026    -  1 = 0.37888    -  2 = 0.85342    -  3 = 0.12520    -  4 = 0.00101    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  18

  output_wert -->  0 = 0.23298    -  1 = 0.17326    -  2 = 0.04145    -  3 = 0.22132    -  4 = 0.23347    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  19

  output_wert -->  0 = 0.27996    -  1 = 0.13246    -  2 = 0.01199    -  3 = 0.24593    -  4 = 0.54831    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  20

  output_wert -->  0 = 0.19706    -  1 = 0.21222    -  2 = 0.10852    -  3 = 0.20152    -  4 = 0.08807    -   out -> 1
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  21

  output_wert -->  0 = 0.14565    -  1 = 0.28354    -  2 = 0.39182    -  3 = 0.16860    -  4 = 0.01413    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  22

  output_wert -->  0 = 0.09506    -  1 = 0.37032    -  2 = 0.82160    -  3 = 0.12939    -  4 = 0.00134    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  23

  output_wert -->  0 = 0.20862    -  1 = 0.19905    -  2 = 0.07991    -  3 = 0.20790    -  4 = 0.12336    -   out -> 0
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  24

  output_wert -->  0 = 0.29395    -  1 = 0.12236    -  2 = 0.00838    -  3 = 0.25283    -  4 = 0.64188    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  25

----------------------------------------------------------------------------------err-7.15855 -- winrate 0.42491
  output_wert -->  0 = 0.27547    -  1 = 0.11586    -  2 = 0.00627    -  3 = 0.24087    -  4 = 0.59679    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  1

  output_wert -->  0 = 0.18838    -  1 = 0.25633    -  2 = 0.15047    -  3 = 0.20276    -  4 = 0.02916    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  2

  output_wert -->  0 = 0.17458    -  1 = 0.27922    -  2 = 0.22297    -  3 = 0.19397    -  4 = 0.01614    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  3

  output_wert -->  0 = 0.23021    -  1 = 0.18502    -  2 = 0.03660    -  3 = 0.22431    -  4 = 0.16043    -   out -> 0
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  4

  output_wert -->  0 = 0.33008    -  1 = 0.06017    -  2 = 0.00067    -  3 = 0.25380    -  4 = 0.94541    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  5

  output_wert -->  0 = 0.25260    -  1 = 0.14842    -  2 = 0.01550    -  3 = 0.23344    -  4 = 0.34521    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  6

  output_wert -->  0 = 0.17883    -  1 = 0.27194    -  2 = 0.19838    -  3 = 0.19676    -  4 = 0.01940    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  7

  output_wert -->  0 = 0.09844    -  1 = 0.36366    -  2 = 0.80232    -  3 = 0.13016    -  4 = 0.00045    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  8

  output_wert -->  0 = 0.23009    -  1 = 0.18513    -  2 = 0.03669    -  3 = 0.22425    -  4 = 0.15982    -   out -> 0
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  9

  output_wert -->  0 = 0.29167    -  1 = 0.09604    -  2 = 0.00325    -  3 = 0.24518    -  4 = 0.75395    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  10

  output_wert -->  0 = 0.21879    -  1 = 0.20379    -  2 = 0.05467    -  3 = 0.21940    -  4 = 0.10430    -   out -> 3
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  11

  output_wert -->  0 = 0.13579    -  1 = 0.33331    -  2 = 0.52087    -  3 = 0.16485    -  4 = 0.00285    -   out -> 2
